Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-009;69.489;2026-05-22 00:48:07.587
BI-RUI-BR11;59.272;2026-05-22 00:48:15.93
BI-RUI-C008;52.5;2026-05-22 00:48:31.887
BI-RUI-P014;57.2;2026-05-22 00:48:40.95
BI-RUI-C012;48.8;2026-05-22 00:48:49.607
BI-RUI-C005;54.0;2026-05-22 00:49:26.503
BI-RUI-C021;52.70;2026-05-22 00:49:26.503
BI-RUI-C015;43.90;2026-05-22 00:49:55.46
BI-RUI-C012;48.8;2026-05-22 00:50:05.853
BI-RUI-P007;56.3;2026-05-22 00:50:18.37
BI-RUI-C020;61.90;2026-05-22 00:50:22.607
BI-RUI-025;58.20;2026-05-22 00:50:52.28
BI-RUI-020;61.10;2026-05-22 00:50:58.173
BI-RUI-C021;57.00;2026-05-22 00:50:59.017
BI-RUI-011;66.087;2026-05-22 00:51:07.33
BI-RUI-007;53.327;2026-05-22 00:51:17.253
BI-RUI-C012;48.0;2026-05-22 00:51:21.55
BI-RUI-C034;60.20;2026-05-22 00:51:44.82
BI-RUI-021;57.40;2026-05-22 00:52:03.683
BI-RUI-P002;44.2;2026-05-22 00:52:15.077
BI-RUI-C012;48.5;2026-05-22 00:52:29.0
BI-RUI-C033;52.10;2026-05-22 00:52:42.11
BI-RUI-C016;52.2;2026-05-22 00:53:23.383
BI-RUI-P010;62.0;2026-05-22 00:53:25.837
BI-RUI-C013;56.5;2026-05-22 00:53:38.62
BI-RUI-C012;49.9;2026-05-22 00:53:45.433
BI-RUI-P005;59.2;2026-05-22 00:53:47.183
BI-RUI-008;56.314;2026-05-22 00:53:48.073
BI-RUI-C001;63.2;2026-05-22 00:54:13.967
BI-RUI-C019;22.50;2026-05-22 00:54:35.923
BI-RUI-010;69.541;2026-05-22 00:54:48.817
BI-RUI-C012;51.4;2026-05-22 00:54:52.397
BI-RUI-P001;67.8;2026-05-22 00:55:02.007
BI-RUI-BR15;63.50;2026-05-22 00:55:09.85
